,Region,Orbital Distance,Orbital Period,Keplerian Ratio,Radius,Day Length,Atm. Pressure,Surface Temp,Surface Gravity,Mass,Satellites,pl_name,Species,Population,Capital,Colony Founded,Population (Orbital Stations),CDEM Garrison,Population (L4 and L5 stations)
24,Milky Way / Hawking Eta / Verr,1.19 AU,2.4 Earth Years,0.293,"25,652 km",18.1 Earth Hours,,,,,,Allusah,,,,,,,
25,Milky Way / Maroon Sea / Caspian,,584.1 Earth Years,,"4,715 km",64.7 Earth Hours,0.76 atm,31 °C ,0.78 g,0.423 Earth Masses,,Almarcrux,,,,,,,
26,Milky Way / Armstrong Nebula / Vamshi,,46.7 Earth Years,,"60,948 km",67.1 Earth Hours,,,,,,Almos,,,,,,,
27,Milky Way / Voyager Cluster / Yangtze,,35.2 Earth Years,,"3,718 km",39.5 Earth Hours,0.00 atm,-96 °C ,0.39 g,0.132 Earth Masses,,Alrumter,,,,,,,
28,Milky Way / Artemis Tau / Sparta,,73.8 Earth Years,,"4,926 km",23.3 Earth Hours,0.00 atm,-193 °C ,0.7 g,0.414 Earth Masses,,Alsages,,,,,,,
29,Milky Way / Artemis Tau / Sparta,,18.1 Earth Years,,"11,190 km",47.2 Earth Hours,0.20 atm,-136 °C ,1.7 g,5.194 Earth Masses,,Altaaya,,,,,,,
30,Milky Way / Styx Theta / Acheron,0.8 AU,0.8 Earth Years,0.8,"4,404 km",53.8 Earth Hours,0.98 atm,36 °C ,1.1 g,0.521 Earth Masses,special,Altahe,,,,,,,
31,Milky Way / The Shrike Abyssal / Thal,1.6 AU,2.3 Earth Years,0.774,"4,145 km",19.2 Earth Hours,1.19 atm,-24 °C ,,,,Altakiril,Turian,13.5 million  (all pop. estimates are pre-invasion),Estivus Erax,2021 CE,,,
32,Milky Way / Gemini Sigma / Ming,983.6 AU,"4,005.7 Earth Years",59.306,"32,605 km",16.3 Earth Hours,,,,,,Altanorch,,,,,,,
33,Milky Way / Horse Head Nebula / Fortuna,3.86 AU,12.0 Earth Years,0.399,"6,694 km",59.7 Earth Hours,1.19 atm,−178 °C ,1.16 g,1.268 Earth Masses,1,Amaranthine,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,Milky Way / Far Rim / Ma-at,102.1 AU,"1,036.0 Earth Years",0.992,"92,430 km",12.2 Earth Hours,,,,,> 1,Ammut,Geth,,,,,,
36,Milky Way / Pylos Nebula / Satent,1.14 AU,1.4 Earth Years,0.756,"2,949 km",38.6 Earth Hours,Trace,−41 °C ,0.19 g,0.04 Earth Masses,,Anedia,,,,,,,
37,Milky Way / Eagle Nebula / Amun,1.7 AU,2.2 Earth Years,1.015,"6,829 km",18.0 Earth Hours,0.6 atm,7 °C ,1.3 g,1.479 Earth Masses,,Anhur,,"208,587,000",New Thebes,2165,,,
38,Milky Way / Omega Nebula / Amada,15.3 AU,60 Earth Years,0.995,"23,120 km",17.4 Earth Hours,,,,,,Anjea,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,Milky Way / Hourglass Nebula / Sowilo,1.6 AU,2.0 Earth Years,1.024,"8,795 km",26.4 Earth Hours,0.14 atm,-7 °C ,2.7 g,5.096 Earth Masses,,Ansuz,,,,,,,
41,Milky Way / Armstrong Nebula / Tereshkova,,3.2 Earth Years,,"6,501 km",54.1 Earth Hours,0.79 atm,−34 °C ,1.1 g,1.134 Earth Masses,,Antibaar,,,,,,,
42,Milky Way / Hourglass Nebula / Faryar,12.3 AU,43.3 Earth Years,0.993,"5,658 km",21.1 Earth Hours,0.00 atm,−180 °C ,0.8 g,0.625 Earth Masses,,Antictra,,,,,,,
43,Milky Way / Maroon Sea / Caspian,,"1,296.1 Earth Years",,"29,657 km",12.8 Earth Hours,,,,,,Antida,,,,,,,
44,Milky Way / Eagle Nebula / Strabo,4.0 AU,8.0 Earth Years,1,"24,193 km",11.2 Earth Hours,,,,,11,Antigar,,,,,,,
45,Milky Way / Minos Wasteland / Arrae,3.05 AU,5.3 Earth Years,1.01,"9,584 km",34.2 Earth Hours,20.88 atm,214 °C ,1.5 g,3.362 Earth Masses,,Antinax,,,,,,,
46,Milky Way / Gemini Sigma / Ming,168.7 AU,284.2 Earth Years,59.443,"57,948 km",10.8 Earth Hours,,,,,,Antiroprus,,,,,,,
47,Milky Way / Armstrong Nebula / Gagarin,,4.0 Earth Years,,"9,508 km",32.1 Earth Hours,0.00 atm,−178 °C ,0.90 g,1.985 Earth Masses,,Antirumgon,,,,,,,
48,Milky Way / Horse Head Nebula / Strenuus,,52.0 Earth Years,,"35,417 km",14.7 Earth Hours,,,,,,Antitarra,,,,,,,
49,Milky Way / The Shrike Abyssal / Xe Cha,1.4 AU,2.0 Earth Years,0.686,"4,530 km",31.3 Earth Hours,2.32 atm,33 °C ,0.7 g,0.35 Earth Masses,,Aphras,,,,,,,
50,Milky Way / Maroon Sea / Matano,,29.7 Earth Years,,"6,843 km",56.7 Earth Hours,1.2 atm,-116 °C ,1.1 g,1.257 Earth Masses,,Apo,,,,,,,
51,Milky Way / Viper Nebula / Bahak,1.15 AU,1.2 Earth Years,1.056,"4,757 km",20.0 Earth Hours,0.57 atm,55 °C ,0.71 g,0.392 Earth Masses,1,Aratoht,Batarian,"Estimated 90,000 (free), 215,000 (other)",Ectah,2162 CE,,,
52,Milky Way / Exodus Cluster / Utopia,0.7 AU,0.6 Earth Years,0.953,"10,893 km",25.6 Earth Hours,16.17 atm,358 °C ,5.0 g,14.476 Earth Masses,,Arcadia,,,,,,,
53,Milky Way / Artemis Tau / Knossos,,470.2 Earth Years,,"14,549 km",16.2 Earth Hours,,,,,> 1,Archanes,,,,,,,
54,Milky Way / Artemis Tau / Knossos,,151.3 Earth Years,,"6,077 km",57.8 Earth Hours,0.18 atm,−168 °C ,0.8 g,0.721 Earth Masses,,Armeni,,,,,,,
55,Andromeda / Heleus Cluster / Faross,1.5 AU,3.4 Earth Years,0.292,"9,148 km",,29.36 atm,-51 °C ,,,,Asiaq,,,,,,,
56,Milky Way / Hades Nexus / Hekate,1.3 AU,1.5 Earth Years,0.976,"5,900 km",21.4 Earth Hours,1.2 atm,25 °C (habitable zone),0.8 g,0.679 Earth Masses,,Asteria,Asari,188 million,Blackdamp,2044 CE,,,
57,Milky Way / Hawking Eta / Schwarzschild,0.9 AU,1 Earth Year,0.729,"5,230 km",28.8 Earth Hours,62 atm,348 °C ,0.79 g,0.527 Earth Masses,,Atahil,,,,,,,
58,Milky Way / Silean Nebula / Teyolia,7.45 AU,20.4 Earth Years,0.994,"8,152 km",31.1 Earth Hours,0.734 atm,−177 °C ,0.76 g,1.232 Earth Masses,,Atebolos,,,,,,,
59,Milky Way / Athena Nebula / Parnitha,13.3 AU,48.6 Earth Years,0.996,"64,549 km",18.7 Earth Hours,,,,,,Athame,,,,,,,
60,Milky Way / Aethon Cluster / Esori,1.0 AU,1.0 Earth Year,1,"7,556 km",40.4 Earth Hours,2.82 atm,141 °C ,0.49 g,0.683 Earth Masses,,Atos Irn,,,,,,,
61,Andromeda / Heleus Cluster / Solminae,0.9 AU,1.6 Earth Years,0.285,"1,442 km",,0.47 atm,-131 °C ,,,,Avelosa,,,,,,,
62,Milky Way / Apien Crest / Trebia,0.3 AU,0.2 Earth Years,0.675,"5,488 km",19.1 Earth Hours,3.01 atm,454 °C ,0.7 g,0.514 Earth Masses,,Aventen,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,Andromeda / Heleus Cluster / Onaon,1.1 AU,1.3 Earth Years,0.788,"3,289 km",,1.40 atm,28 °C ,,,1,Aya,Angara,,,,,,
65,Milky Way / Kite's Nest / Vular,3.6 AU,6.2 Earth Years,1.214,"53,592 km",15.5 Earth Hours,,,,,,Azimir,,,,,,,
66,Milky Way / Pylos Nebula / Zaherin,1.45 AU,1.95 Earth Years,0.802,"4,715 km",36.1 Earth Hours,57.28 atm,274 °C ,0.57 g,0.309 Earth Masses,,Azrahas,,,,,,,
67,Andromeda / Heleus Cluster / Govorkam,15.6 AU,68.8 years,,"74,552 km",,1.78 atm,,,,,Bakker,,,,,,,
68,Milky Way / Nubian Expanse / Dakka,0.73 AU,0.6 Earth Years,1.081,"7,963 km",54.8 Earth Hours,65.4 atm,599 °C ,1.6 g,2.476 Earth Masses,,Bannik,,,,,,,
69,Milky Way / Eagle Nebula / Amun,7.0 AU,18.6 Earth Years,0.991,"18,557 km",13.6 Earth Hours,,,,,> 1,Bast,,,,,,,
70,Milky Way / Viper Nebula / Bahak,8.9 AU,26.6 Earth Years,0.996,"65,015 km",13.1 Earth Hours,,,,,,Bastzuda,,,,,,,
71,Milky Way / Eagle Nebula / Relic,33.0 AU,190.2 Earth Years,0.993,"8,058 km",54.1 Earth Hours,1.25 atm,−157 °C ,2.1 g,3.327 Earth Masses,,Beach Thunder,,,,,,,
72,Milky Way / Serpent Nebula / Boltzmann,1.8 AU,2.4 Earth Years,1.013,"6,050 km",21.3 Earth Hours,1.17 atm,43 °C (mean) 25 °C (habitable zone),0.9 g,0.804 Earth Masses,,Bekenstein,Human,"5,425,000",Milgrom,2158,,,
73,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,Milky Way / Armstrong Nebula / Grissom,,812.3 Earth Years,,"6,788 km",41.2 Earth Hours,26.35 atm,"3,151 °C ",,,,Benda,,,,,,,
76,Milky Way / Athena Nebula / Tomaros,19.9 AU,89 Earth Years,0.995,"18,809 km",11.1 Earth Hours,,,,,,Beness,,,,,,,
77,Milky Way / Arcturus Stream / Euler,1.1 AU,0.9 Earth Years,1.643,"9,362 km",,1.13 atm,63 °C ,1.14 g,2.438 Earth Masses,,Benning,Human,2.25 million(Pop. estimate is pre-invasion),Joughin,2153,,,
78,Milky Way / Crescent Nebula / Tasale,0.6 AU,0.5 Earth Years,0.864,"10,640 km",45.7 Earth Hours,2.0 atm,232 °C ,2.1 g,5.801 Earth Masses,,Beregale,,,,,,,
79,Andromeda / Heleus Cluster / Togessan,5.9 AU,14.5 Earth Years,0.977,"7,799 km",,21.26 atm,128 °C ,,,,Biloun,,,,,,,
80,Milky Way / Omega Nebula / Sahrabarik,6.12 AU,27.7 Earth Years,0.299,"4,907 km",53.3 Earth Hours,Trace,−224 °C ,0.55 g,0.323 Earth Masses,,Bindur,,,,,,,
81,Milky Way / Voyager Cluster / Yangtze,,5 Earth Years,,"5,935 km",53.2 Earth Hours,0.91 atm,94 °C ,0.94 g,0.808 Earth Masses,1,Binthu,,,,,,,
82,Andromeda / Heleus Cluster / Skeldah,0.1 AU,0.1 Earth Years,0.1,"9,912 km",,101.38 atm,361 °C ,,,,Bleeding Ruby,,,,,,,
83,Milky Way / Pylos Nebula / Satent,2.1 AU,3.4 Earth Years,0.801,"10,573 km",31.0 Earth Hours,1.6 atm,−57 °C ,1.66 g,4.528 Earth Masses,,Boro,Volus,1617,Yila,2180,,,
84,Milky Way / Exodus Cluster / Asgard,2.2 AU,3.3 Earth Years,0.978,"74,612 km",8.8 Earth Hours,,,,,> 90,Borr,,,,,,,
85,Milky Way / Hades Nexus / Hekate,8.5 AU,24.8 Earth Years,0.999,"7,191 km",51.0 Earth Hours,Trace,−142 °C ,1.5 g,1.893 Earth Masses,,Bothros,,,,,,,
86,Milky Way / The Shrike Abyssal / Urla Rast,0.7 AU,0.6 Earth Years,0.953,"7,307 km",33.5 Earth Hours,8.39 atm,253 °C ,1.6 g,2.084 Earth Masses,,Bovis Tor,,,,,,,
87,Milky Way / Caleston Rift / Balor,2.9 AU,4.9 Earth Years,1.016,975 km,23.3 Earth Hours,0.00 atm,−146 °C ,0.173 g,0.004 Earth Masses,,Bres,,,,,,,
88,Milky Way / Apien Crest / Trebia,0.6 AU,0.4 Earth Years,1.35,"6,349 km",64.5 Earth Hours,0.06 atm,187 °C ,1.0 g,0.984 Earth Masses,,Caelax,,,,,,,
89,Milky Way / Kite's Nest / Indris,1.4 AU,1.9 Earth Years,0.76,"4,866 km",18.1 Earth Hours,1.85 atm,38 °C ,0.924 g,0.534 Earth Masses,,Camala,Batarian,"2,875,000(All pop. estimates are pre-invasion)",Ujon,2154 CE,,,
90,Milky Way / Argos Rho / Gorgon,199.0 AU,664.8 Earth Years,17.831,"5,198 km",664.8 Earth Years,0.23 atm,747 °C ,0.55 g,0.363 Earth Masses,,Camaron,,,,,,,
91,Milky Way / Pylos Nebula / Dirada,46.3 AU,176.8 Earth Years,3.175,"4,618 km",9.8 Earth Hours,0.83 atm,99 °C ,0.85 g,0.442 Earth Masses,,Canalus,,,,,,,
92,Milky Way / Hawking Eta / Century,14.3 AU,60.6 Earth Years,0.796,"5,471 km",66.7 Earth Hours,0.83 atm,−175 °C ,0.7 g,0.511 Earth Masses,,Canctra,,,,,,,
93,Andromeda / Heleus Cluster / Jirayder,2.8 AU,8.4 Earth Years,0.311,"70,835 km",,1.79 atm,,,,Jaharuan,Candavorni,,,,,,,
94,Milky Way / Argos Rho / Hydra,16.52 AU,67.3 Earth Years,0.995,"5,220 km",32.5 Earth Hours,0.07 atm,-132 °C ,0.55 g,0.36 Earth Masses,,Canrum,,,,,,,
95,Milky Way / Titan Nebula / Haskins,4.4 AU,7.1 Earth Years,1.69,"5,899 km",18.7 Earth Hours,0.95 atm,65 °C ,0.8 g,0.679 Earth Masses,,Capek,,,,,,,
96,Milky Way / Apien Crest / Castellus,0.4 AU,0.3 Earth Years,0.711,"2,579 km",28.8 Earth Hours,Trace,268 °C ,0.51 g,0.083 Earth Masses,,Carborix,,,,,,,
97,Milky Way / Nimbus Cluster / Agaiou,3 AU,5.3 Earth Years,0.961,"7,484 km",40 Earth Hours,3.4 atm,67 °C ,1.1 g,1.503 Earth Masses,,Carcosa,,,,,,,
98,Milky Way / Armstrong Nebula / Hong,,1.1 Earth Years,,"7,819 km",44.6 Earth Hours,1.1 atm,99 °C ,1.1 g,1.641 Earth Masses,,Casbin,,,,,,,
99,Milky Way / Caleston Rift / Balor,0.07 AU,31 Earth Days,,"49,231 km",17 Earth Hours,0.86 atm,,,,> 1,Cernunnos,,,,,,,
100,Milky Way / Sigurd's Cradle / Mil,1.15 AU,1.24 Earth Years,0.989,"5,005 km",68.6 Earth Hours,0.66 atm,57 °C ,0.79 g,0.483 Earth Masses,,Chalkhos,Asari,,,,,,
101,Milky Way / Far Rim / Dholen,2.9 AU,4.9 Earth Years,1.016,"54,532 km",11.3 Earth Hours,1.37 atm,,,,> 1,Charoum,Geth,"250,000-500,000 platforms",None,1895 (occupation),,,
102,Milky Way / Maroon Sea / Matano,,1.3 Earth Years,,"8,059 km",1.3 Earth Years,0.86 atm,67 °C ,0.88 g,1.395 Earth Masses,,Chasca,Human,150,(none),2183,,,
103,Milky Way / Aethon Cluster / Aru,10.4 AU,33.6 Earth Years,0.996,"39,139 km",12.1 Earth Hours,,,,,,Cherk Sab,,,,,,,
104,Milky Way / Styx Theta / Erebus,,56.9 Earth Years,,"21,481 km",13.7 Earth Hours,,,,,,Chofen,,,,,,,
105,Milky Way / Hades Gamma / Cacus,3.7 AU,5.4 Earth Years,1.737,"8,000 km",54.5 Earth Hours,0.00 atm,11 °C ,1.0 g,1.562 Earth Masses,1,Chohe,,,,,,,
106,Milky Way / Sigurd's Cradle / Lenal,9.3 AU,26.0 Earth Years,1.19,"1,260 km",62.0 Earth Hours,Trace,−88 °C ,,,>1,Choitadix,,,,,,,
107,Milky Way / Kite's Nest / Indris,0.7 AU,0.7 Earth Years,0.7,"9,813 km",8.1 Earth Hours,103.93 atm,494 °C ,1.35 g,3.172 Earth Masses,,Cholis,Batarian,,,,,,
108,Andromeda / Heleus Cluster / Sephesa,4.3 AU,16.3 Earth Years,0.299,"8,694 km",,34.71 atm,-82 °C ,,,,Chophise,,,,,,,
109,Milky Way / Artemis Tau / Athens,,141.9 Earth Years,,"22,479 km",10.9 Earth Hours,,,,,,Circe,,,,,,,
110,Milky Way / Kepler Verge / Herschel,,"2,052.3 Earth Years",,"8,198 km",59.7 Earth Hours,0.81 atm,7 °C ,0.88 g,1.443 Earth Masses,,Clobaka,,,,,,,
111,Milky Way / Hades Gamma / Plutus,12.5 AU,25.2 Earth Years,3.076,"3,675 km",57.0 Earth Hours,0.37 atm,161 °C ,0.39 g,0.129 Earth Masses,,Clocrolis,,,,,,,
112,Milky Way / Viper Nebula / Bahak,0.6 AU,0.5 Earth Years,0.864,"2,621 km",20.8 Earth Hours,14.65 atm,382 °C ,0.12 g,0.02 Earth Masses,,Clogon,,,,,,,
113,Milky Way / Voyager Cluster / Columbia,,0.3 Earth Years,,"7,074 km",47.6 Earth Hours,18.33 atm,312 °C ,1.1 g,1.343 Earth Masses,,Clojiia,,,,,,,
114,Milky Way / Maroon Sea / Vostok,,1 Earth Year,,"6,028 km",18.8 Earth Hours,0.9 atm,95 °C ,0.9 g,0.798 Earth Masses,,Clomarthu,,,,,,,
115,Milky Way / Sentry Omega / Hoc,,47.8 Earth Years,,"32,191 km",13.4 Earth Hours,,,,,,Cloroplon,,,,,,,
116,Milky Way / Maroon Sea / Caspian,,124.7 Earth Years,,"7,810 km",19.7 Earth Hours,0.73 atm,92 °C ,0.78 g,1.161 Earth Masses,,Clotanca,,,,,,,
117,Milky Way / Kepler Verge / Herschel,,"1,013.71 Earth Years",,"17,988 km",19.2 Earth Hours,,,,,~ 100,Clugon,,,,,,,
118,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,
122,Milky Way / Athena Nebula / Parnitha,0.94 AU,0.9 Earth Years,1.025,"5,940 km",27.6 Earth Hours,0.96 atm,25 °C ,1.1 g,0.947 Earth Masses,0,Thessia,Asari,5.5 billion,,,"33,000(Pop. estimates are pre-invasion)",,
123,Milky Way / Krogan DMZ / Aralakh,5.3 AU,16.7 Earth Years,0.534,"8,293 km",21.4 Earth Hours,1.1 atm,72 °C (36 °C in shrouded areas),1.14 g,1.913 Earth Masses,,Tuchanka,Krogan,2.1 billion,Urdnot (since 2183),,,"2,400 (in orbital battlestations)",
124,Milky Way / Hawking Eta / Verr,0.7 AU,0.9 Earth Years,0.423,"4,911 km",53.2 Earth Hours,0.73 atm,58 °C ,,,0,Corang,,,,,,,
125,Milky Way / Sigurd's Cradle / Skepsis,4.3 AU,8.9 Earth Years,1.004,"4,738 km",60.7 Earth Hours,2.77 atm,−32 °C ,0.6 g,0.329 Earth Masses,,Crick,,,,,,,
126,,,,,,,,,,,,,,,,,,,
127,Milky Way / Rosetta Nebula / Phi Clio,0.5 AU,0.4 Earth Years,0.781,"38,920 km",12.8 Earth Hours,,,,,,Cyllene,,,,,,,
128,Milky Way / Silean Nebula / Kypladon,0.9 AU,1.0 Earth Year,0.729,"6,271 km",39.6 Earth Hours,0.84 atm,23 °C ,0.95 g,0.912 Earth Masses,,Cyone,Asari,260 million,Polos,322 CE,,,
129,,,,,,,,,,,,,,,,,,,
130,Milky Way / Ninmah Cluster / Maskim Xul,5.6 AU,24.2 Earth Years,0.3,"27,231 km",8.7 Earth Hours,,,,,,Damkianna,,,,,,,
131,Milky Way / Hourglass Nebula / Faryar,0.9 AU,0.9 Earth Years,0.9,"3,937 km",62.8 Earth Hours,0.49 atm,−66 °C ,0.5 g,0.189 Earth Masses,1,Daratar,,,,,,,
132,Milky Way / Sigurd's Cradle / Skepsis,0.9 AU,0.9 Earth Years,0.9,"6,771 km",37.3 Earth Hours,112.06 atm,710 °C ,1.2 g,1.342 Earth Masses,,Darwin,,,,,,,
133,Milky Way / Apien Crest / Trebia,8.7 AU,25.7 Earth Years,0.997,"7,183 km",31.8 Earth Hours,Trace,-164 °C ,,,,Datriux,,,,,,,
134,Milky Way / Silean Nebula / Phontes,1.1 AU,1.1 Earth Years,1.1,"10,387 km",68.4 Earth Hours,1.02 atm,29 °C ,4 g,10.53 Earth Masses,Oltan,Dekuuna,Elcor,2.35 billion(Pop. estimate is pre-invasion),"Sereuun, Malvuon",,,,
135,,,,,,,,,,,,,,,,,,,
136,Andromeda / Heleus Cluster / Dar'hegah,15.5 AU,111.6 Earth Years,0.299,"2,553 km",,0.02 atm,-241 °C ,,,,Denesh,,,,,,,
137,Milky Way / Voyager Cluster / Amazon,,3.1 Earth Years,,"11,728 km",65.5 Earth Hours,1.93 atm,-60 °C ,1.8 g,6.041 Earth Masses,~ 12,Derneuca,,,,,,,
138,Milky Way / Kite's Nest / Harsa,0.8 AU,0.7 Earth Years,1.045,"1,528 km",68.6 Earth Hours,16.28 atm,322 °C ,.28 g,0.016 Earth Masses,,Dezda,,,,,,,
139,Milky Way / Apien Crest / Castellus,1.35 AU,1.6 Earth Years,0.961,"4,061 km",37.2 Earth Hours,0.35 atm,21 °C ,0.69 g,0.278 Earth Masses,,Digeris,Turian,1.9 billion(Pop. estimate is pre-invasion),Apparitus,381 BCE,,,
140,Andromeda / Heleus Cluster / Nol,2.5 AU,4.0 Earth Years,0.977,"7,369 km",,0.18 atm,-58 °C ,,,,Ditivios,,,,,,,
141,Milky Way / Hades Nexus / Pamyat,2.3 AU,3.5 Earth Years,0.993,"6,972 km",59.1 Earth Hours,0.21 atm,−46 °C ,0.9 g,1.067 Earth Masses,,Dobrovolski,Human,,,,,,
142,Milky Way / Aethon Cluster / Aru,20.8 AU,95.2 Earth Years,0.993,"28,982 km",10.6 Earth Hours,,,,,>1,Doldit,,,,,,,
143,Milky Way / Krogan DMZ / Dranek,0.36 AU,0.4 Earth Years,0.292,"25,588 km",18.4 Earth Hours,,,,,,Dor,,7300,,,,,
144,Milky Way / Omega Nebula / Fathar,0.54 AU,0.7 Earth Years,0.321,"3,521 km",51.4 Earth Hours,0.43 atm,−88 °C ,0.44 g,0.133 Earth Masses,,Dorgal,,,,,,,
145,Milky Way / Crescent Nebula / Lusarn,2.48 AU,3.0 Earth Years,1.695,"8,700 km",63 Earth Hours,1.17 atm,204 °C ,1.2 g,2.216 Earth Masses,,Doriae,,,,,,,
146,Andromeda / Heleus Cluster / Hefena,7.5 AU,23.1 Earth Years,0.791,"8,888 km",,0.57 atm,-159 °C ,,,,Dovar,,,,,,,
147,Milky Way / The Shrike Abyssal / Urla Rast,3.1 AU,5.5 Earth Years,0.985,"47,428 km",10.3 Earth Hours,,,,,,Doz Atab,,,,,,,
148,Milky Way / Annos Basin / Pranas,1.9 AU,2.5 Earth Years,1.097,"1,528 km",60.2 Earth Hours,Trace,-37 °C ,0.15 g,0.009 Earth Masses,,Dragel,,,,,,,
149,Milky Way / Caleston Rift / Aysur,2.5 AU,4.0 Earth Years,0.977,"72,021 km",17.1 Earth Hours,1.94 atm,,,,44,Dranen,,,,,,,
150,Milky Way / Voyager Cluster / Yangtze,,23.7 Earth Years,,"2,843 km",34.0 Earth Hours,0.00 atm,-96 °C ,0.28 g,0.055 Earth Masses,,Dregir,,,,,,,
151,Andromeda / Heleus Cluster / Zaubray,23.9 AU,27.6 Earth Years,17.922,"6,946 km",,15.63 atm,"1,114 °C ",,,1,Dubraaci,,,,,,,
